Raw Feature,Feature,Direction,Coefficient
categorical__exang_0 categorical__slope_2,Exercise-Induced Angina = 0 (No) x ST Slope = 2 (Downsloping),Toward no heart disease,0.0
categorical__exang_0 categorical__slope_3,Exercise-Induced Angina = 0 (No) x ST Slope = 3,Toward no heart disease,0.0
categorical__exang_0 categorical__ca_0,Exercise-Induced Angina = 0 (No) x Number of Major Vessels = 0,Toward no heart disease,0.0
categorical__restecg_0 categorical__ca_4,Resting ECG Result = 0 (Normal) x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__restecg_1 categorical__slope_1,Resting ECG Result = 1 (ST-T wave abnormality) x ST Slope = 1 (Flat),Toward no heart disease,0.0
categorical__restecg_1 categorical__slope_0,Resting ECG Result = 1 (ST-T wave abnormality) x ST Slope = 0 (Upsloping),Toward no heart disease,0.0
categorical__restecg_2 categorical__thal_0,Resting ECG Result = 2 (Left ventricular hypertrophy) x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__fbs_1 categorical__thal_0,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__restecg_2 categorical__ca_4,Resting ECG Result = 2 (Left ventricular hypertrophy) x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__restecg_1 categorical__ca_2,Resting ECG Result = 1 (ST-T wave abnormality) x Number of Major Vessels = 2,Toward no heart disease,0.0
categorical__restecg_1 categorical__thal_7,Resting ECG Result = 1 (ST-T wave abnormality) x Thalassemia Result = 7,Toward no heart disease,0.0
categorical__fbs_1 categorical__slope_3,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x ST Slope = 3,Toward no heart disease,0.0
categorical__restecg_1 categorical__restecg_2,Resting ECG Result = 1 (ST-T wave abnormality) x Resting ECG Result = 2 (Left ventricular hypertrophy),Toward no heart disease,0.0
categorical__restecg_0 categorical__thal_7,Resting ECG Result = 0 (Normal) x Thalassemia Result = 7,Toward no heart disease,0.0
categorical__restecg_0 categorical__slope_0,Resting ECG Result = 0 (Normal) x ST Slope = 0 (Upsloping),Toward no heart disease,0.0
categorical__restecg_0 categorical__exang_1,Resting ECG Result = 0 (Normal) x Exercise-Induced Angina = 1 (Yes),Toward no heart disease,0.0
categorical__restecg_0 categorical__thal_6,Resting ECG Result = 0 (Normal) x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__fbs_1 categorical__ca_4,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__restecg_2 categorical__exang_1,Resting ECG Result = 2 (Left ventricular hypertrophy) x Exercise-Induced Angina = 1 (Yes),Toward no heart disease,0.0
categorical__fbs_1 categorical__ca_1,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x Number of Major Vessels = 1,Toward no heart disease,0.0
categorical__restecg_1 categorical__exang_1,Resting ECG Result = 1 (ST-T wave abnormality) x Exercise-Induced Angina = 1 (Yes),Toward no heart disease,0.0
categorical__restecg_1 categorical__thal_1,Resting ECG Result = 1 (ST-T wave abnormality) x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__restecg_2 categorical__slope_0,Resting ECG Result = 2 (Left ventricular hypertrophy) x ST Slope = 0 (Upsloping),Toward no heart disease,0.0
categorical__restecg_2 categorical__slope_1,Resting ECG Result = 2 (Left ventricular hypertrophy) x ST Slope = 1 (Flat),Toward no heart disease,0.0
categorical__restecg_1 categorical__thal_0,Resting ECG Result = 1 (ST-T wave abnormality) x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__fbs_1 categorical__ca_0,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x Number of Major Vessels = 0,Toward no heart disease,0.0
categorical__restecg_2 categorical__slope_2,Resting ECG Result = 2 (Left ventricular hypertrophy) x ST Slope = 2 (Downsloping),Toward no heart disease,0.0
categorical__fbs_1 categorical__thal_6,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__restecg_0 categorical__restecg_2,Resting ECG Result = 0 (Normal) x Resting ECG Result = 2 (Left ventricular hypertrophy),Toward no heart disease,0.0
categorical__fbs_1 categorical__slope_1,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x ST Slope = 1 (Flat),Toward no heart disease,0.0
categorical__restecg_2 categorical__ca_1,Resting ECG Result = 2 (Left ventricular hypertrophy) x Number of Major Vessels = 1,Toward no heart disease,0.0
categorical__fbs_1 categorical__slope_0,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x ST Slope = 0 (Upsloping),Toward no heart disease,0.0
categorical__restecg_1 categorical__ca_3,Resting ECG Result = 1 (ST-T wave abnormality) x Number of Major Vessels = 3,Toward no heart disease,0.0
categorical__restecg_1 categorical__exang_0,Resting ECG Result = 1 (ST-T wave abnormality) x Exercise-Induced Angina = 0 (No),Toward no heart disease,0.0
numeric__age,Age,Toward no heart disease,0.0
categorical__exang_0 categorical__ca_2,Exercise-Induced Angina = 0 (No) x Number of Major Vessels = 2,Toward no heart disease,0.0
categorical__slope_3 categorical__ca_2,ST Slope = 3 x Number of Major Vessels = 2,Toward no heart disease,0.0
categorical__ca_2 categorical__thal_1,Number of Major Vessels = 2 x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__ca_2 categorical__thal_0,Number of Major Vessels = 2 x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__ca_2 categorical__ca_4,Number of Major Vessels = 2 x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__ca_2 categorical__ca_3,Number of Major Vessels = 2 x Number of Major Vessels = 3,Toward no heart disease,0.0
categorical__ca_1 categorical__thal_6,Number of Major Vessels = 1 x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__ca_1 categorical__thal_2,Number of Major Vessels = 1 x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
categorical__ca_1 categorical__thal_1,Number of Major Vessels = 1 x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__ca_1 categorical__thal_0,Number of Major Vessels = 1 x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__ca_1 categorical__ca_4,Number of Major Vessels = 1 x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__ca_1 categorical__ca_3,Number of Major Vessels = 1 x Number of Major Vessels = 3,Toward no heart disease,0.0
categorical__ca_1 categorical__ca_2,Number of Major Vessels = 1 x Number of Major Vessels = 2,Toward no heart disease,0.0
categorical__ca_0 categorical__thal_6,Number of Major Vessels = 0 x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__ca_0 categorical__thal_3,Number of Major Vessels = 0 x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,0.0
categorical__ca_0 categorical__thal_0,Number of Major Vessels = 0 x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__ca_0 categorical__ca_4,Number of Major Vessels = 0 x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__ca_0 categorical__ca_3,Number of Major Vessels = 0 x Number of Major Vessels = 3,Toward no heart disease,0.0
categorical__ca_0 categorical__ca_2,Number of Major Vessels = 0 x Number of Major Vessels = 2,Toward no heart disease,0.0
categorical__ca_0 categorical__ca_1,Number of Major Vessels = 0 x Number of Major Vessels = 1,Toward no heart disease,0.0
categorical__slope_3 categorical__thal_7,ST Slope = 3 x Thalassemia Result = 7,Toward no heart disease,0.0
categorical__slope_3 categorical__thal_6,ST Slope = 3 x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__slope_3 categorical__thal_3,ST Slope = 3 x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,0.0
categorical__slope_3 categorical__thal_2,ST Slope = 3 x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
categorical__slope_3 categorical__thal_1,ST Slope = 3 x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__slope_3 categorical__thal_0,ST Slope = 3 x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__slope_3 categorical__ca_4,ST Slope = 3 x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__ca_2 categorical__thal_2,Number of Major Vessels = 2 x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
categorical__ca_2 categorical__thal_6,Number of Major Vessels = 2 x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__ca_3 categorical__ca_4,Number of Major Vessels = 3 x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__thal_0 categorical__thal_3,Thalassemia Result = 0 (Unknown) x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,0.0
categorical__thal_3 categorical__thal_7,Thalassemia Result = 3 (Reversible defect) x Thalassemia Result = 7,Toward no heart disease,0.0
categorical__thal_3 categorical__thal_6,Thalassemia Result = 3 (Reversible defect) x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__thal_2 categorical__thal_7,Thalassemia Result = 2 (Normal) x Thalassemia Result = 7,Toward no heart disease,0.0
categorical__thal_2 categorical__thal_6,Thalassemia Result = 2 (Normal) x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__thal_2 categorical__thal_3,Thalassemia Result = 2 (Normal) x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,0.0
categorical__thal_1 categorical__thal_7,Thalassemia Result = 1 (Fixed defect) x Thalassemia Result = 7,Toward no heart disease,0.0
categorical__thal_1 categorical__thal_6,Thalassemia Result = 1 (Fixed defect) x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__thal_1 categorical__thal_3,Thalassemia Result = 1 (Fixed defect) x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,0.0
categorical__thal_1 categorical__thal_2,Thalassemia Result = 1 (Fixed defect) x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
categorical__thal_0 categorical__thal_7,Thalassemia Result = 0 (Unknown) x Thalassemia Result = 7,Toward no heart disease,0.0
categorical__thal_0 categorical__thal_6,Thalassemia Result = 0 (Unknown) x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__thal_0 categorical__thal_2,Thalassemia Result = 0 (Unknown) x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
categorical__ca_3 categorical__thal_0,Number of Major Vessels = 3 x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__thal_0 categorical__thal_1,Thalassemia Result = 0 (Unknown) x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__ca_4 categorical__thal_7,Number of Major Vessels = 4 x Thalassemia Result = 7,Toward no heart disease,0.0
categorical__ca_4 categorical__thal_6,Number of Major Vessels = 4 x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__ca_4 categorical__thal_3,Number of Major Vessels = 4 x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,0.0
categorical__ca_4 categorical__thal_2,Number of Major Vessels = 4 x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
categorical__ca_4 categorical__thal_1,Number of Major Vessels = 4 x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__ca_4 categorical__thal_0,Number of Major Vessels = 4 x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__ca_3 categorical__thal_7,Number of Major Vessels = 3 x Thalassemia Result = 7,Toward no heart disease,0.0
categorical__ca_3 categorical__thal_6,Number of Major Vessels = 3 x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__ca_3 categorical__thal_2,Number of Major Vessels = 3 x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
categorical__ca_3 categorical__thal_1,Number of Major Vessels = 3 x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__slope_3 categorical__ca_3,ST Slope = 3 x Number of Major Vessels = 3,Toward no heart disease,0.0
categorical__slope_3 categorical__ca_1,ST Slope = 3 x Number of Major Vessels = 1,Toward no heart disease,0.0
categorical__exang_0 categorical__ca_3,Exercise-Induced Angina = 0 (No) x Number of Major Vessels = 3,Toward no heart disease,0.0
categorical__slope_3 categorical__ca_0,ST Slope = 3 x Number of Major Vessels = 0,Toward no heart disease,0.0
categorical__slope_0 categorical__ca_4,ST Slope = 0 (Upsloping) x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__slope_0 categorical__ca_3,ST Slope = 0 (Upsloping) x Number of Major Vessels = 3,Toward no heart disease,0.0
categorical__slope_0 categorical__ca_2,ST Slope = 0 (Upsloping) x Number of Major Vessels = 2,Toward no heart disease,0.0
categorical__slope_0 categorical__ca_1,ST Slope = 0 (Upsloping) x Number of Major Vessels = 1,Toward no heart disease,0.0
categorical__slope_0 categorical__ca_0,ST Slope = 0 (Upsloping) x Number of Major Vessels = 0,Toward no heart disease,0.0
categorical__slope_0 categorical__slope_3,ST Slope = 0 (Upsloping) x ST Slope = 3,Toward no heart disease,0.0
categorical__slope_0 categorical__slope_2,ST Slope = 0 (Upsloping) x ST Slope = 2 (Downsloping),Toward no heart disease,0.0
categorical__slope_0 categorical__slope_1,ST Slope = 0 (Upsloping) x ST Slope = 1 (Flat),Toward no heart disease,0.0
categorical__exang_1 categorical__thal_6,Exercise-Induced Angina = 1 (Yes) x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__exang_1 categorical__thal_3,Exercise-Induced Angina = 1 (Yes) x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,0.0
categorical__exang_1 categorical__thal_2,Exercise-Induced Angina = 1 (Yes) x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
categorical__exang_1 categorical__thal_1,Exercise-Induced Angina = 1 (Yes) x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__exang_1 categorical__thal_0,Exercise-Induced Angina = 1 (Yes) x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__exang_1 categorical__ca_4,Exercise-Induced Angina = 1 (Yes) x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__exang_1 categorical__ca_3,Exercise-Induced Angina = 1 (Yes) x Number of Major Vessels = 3,Toward no heart disease,0.0
categorical__exang_1 categorical__ca_2,Exercise-Induced Angina = 1 (Yes) x Number of Major Vessels = 2,Toward no heart disease,0.0
categorical__exang_1 categorical__ca_0,Exercise-Induced Angina = 1 (Yes) x Number of Major Vessels = 0,Toward no heart disease,0.0
categorical__exang_1 categorical__slope_3,Exercise-Induced Angina = 1 (Yes) x ST Slope = 3,Toward no heart disease,0.0
categorical__exang_1 categorical__slope_0,Exercise-Induced Angina = 1 (Yes) x ST Slope = 0 (Upsloping),Toward no heart disease,0.0
categorical__exang_0 categorical__thal_7,Exercise-Induced Angina = 0 (No) x Thalassemia Result = 7,Toward no heart disease,0.0
categorical__exang_0 categorical__thal_6,Exercise-Induced Angina = 0 (No) x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__exang_0 categorical__thal_3,Exercise-Induced Angina = 0 (No) x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,0.0
categorical__exang_0 categorical__thal_2,Exercise-Induced Angina = 0 (No) x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
categorical__exang_0 categorical__thal_1,Exercise-Induced Angina = 0 (No) x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__exang_0 categorical__thal_0,Exercise-Induced Angina = 0 (No) x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__slope_0 categorical__thal_0,ST Slope = 0 (Upsloping) x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__slope_0 categorical__thal_1,ST Slope = 0 (Upsloping) x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__slope_0 categorical__thal_2,ST Slope = 0 (Upsloping) x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
categorical__slope_1 categorical__thal_6,ST Slope = 1 (Flat) x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__slope_2 categorical__thal_6,ST Slope = 2 (Downsloping) x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__slope_2 categorical__thal_3,ST Slope = 2 (Downsloping) x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,0.0
categorical__slope_2 categorical__thal_2,ST Slope = 2 (Downsloping) x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
categorical__slope_2 categorical__thal_1,ST Slope = 2 (Downsloping) x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__slope_2 categorical__thal_0,ST Slope = 2 (Downsloping) x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__slope_2 categorical__ca_4,ST Slope = 2 (Downsloping) x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__slope_2 categorical__ca_3,ST Slope = 2 (Downsloping) x Number of Major Vessels = 3,Toward no heart disease,0.0
categorical__slope_2 categorical__ca_2,ST Slope = 2 (Downsloping) x Number of Major Vessels = 2,Toward no heart disease,0.0
categorical__slope_2 categorical__ca_0,ST Slope = 2 (Downsloping) x Number of Major Vessels = 0,Toward no heart disease,0.0
categorical__slope_2 categorical__slope_3,ST Slope = 2 (Downsloping) x ST Slope = 3,Toward no heart disease,0.0
categorical__slope_1 categorical__thal_7,ST Slope = 1 (Flat) x Thalassemia Result = 7,Toward no heart disease,0.0
categorical__slope_1 categorical__thal_3,ST Slope = 1 (Flat) x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,0.0
categorical__slope_0 categorical__thal_3,ST Slope = 0 (Upsloping) x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,0.0
categorical__slope_1 categorical__thal_2,ST Slope = 1 (Flat) x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
categorical__slope_1 categorical__thal_1,ST Slope = 1 (Flat) x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__slope_1 categorical__thal_0,ST Slope = 1 (Flat) x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__slope_1 categorical__ca_4,ST Slope = 1 (Flat) x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__slope_1 categorical__ca_3,ST Slope = 1 (Flat) x Number of Major Vessels = 3,Toward no heart disease,0.0
categorical__slope_1 categorical__ca_2,ST Slope = 1 (Flat) x Number of Major Vessels = 2,Toward no heart disease,0.0
categorical__slope_1 categorical__ca_0,ST Slope = 1 (Flat) x Number of Major Vessels = 0,Toward no heart disease,0.0
categorical__slope_1 categorical__slope_3,ST Slope = 1 (Flat) x ST Slope = 3,Toward no heart disease,0.0
categorical__fbs_1 categorical__restecg_2,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x Resting ECG Result = 2 (Left ventricular hypertrophy),Toward no heart disease,0.0
categorical__slope_0 categorical__thal_7,ST Slope = 0 (Upsloping) x Thalassemia Result = 7,Toward no heart disease,0.0
categorical__slope_0 categorical__thal_6,ST Slope = 0 (Upsloping) x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__slope_1 categorical__slope_2,ST Slope = 1 (Flat) x ST Slope = 2 (Downsloping),Toward no heart disease,0.0
categorical__cp_1 categorical__thal_1,Chest Pain Type = 1 (Atypical angina) x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__fbs_0 categorical__thal_7,Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl) x Thalassemia Result = 7,Toward no heart disease,0.0
numeric__thalachh categorical__cp_0,Maximum Heart Rate x Chest Pain Type = 0 (Typical angina),Toward no heart disease,0.0
numeric__thalachh categorical__thal_1,Maximum Heart Rate x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
numeric__thalachh categorical__thal_0,Maximum Heart Rate x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
numeric__thalachh categorical__ca_4,Maximum Heart Rate x Number of Major Vessels = 4,Toward no heart disease,0.0
numeric__thalachh categorical__ca_2,Maximum Heart Rate x Number of Major Vessels = 2,Toward no heart disease,0.0
numeric__thalachh categorical__ca_0,Maximum Heart Rate x Number of Major Vessels = 0,Toward no heart disease,0.0
numeric__thalachh categorical__slope_3,Maximum Heart Rate x ST Slope = 3,Toward no heart disease,0.0
numeric__thalachh categorical__slope_1,Maximum Heart Rate x ST Slope = 1 (Flat),Toward no heart disease,0.0
numeric__thalachh categorical__slope_0,Maximum Heart Rate x ST Slope = 0 (Upsloping),Toward no heart disease,0.0
numeric__thalachh categorical__restecg_2,Maximum Heart Rate x Resting ECG Result = 2 (Left ventricular hypertrophy),Toward no heart disease,0.0
numeric__thalachh categorical__cp_3,Maximum Heart Rate x Chest Pain Type = 3 (Asymptomatic),Toward no heart disease,0.0
numeric__chol categorical__thal_3,Cholesterol x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,0.0
numeric__thalachh categorical__thal_3,Maximum Heart Rate x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,0.0
numeric__chol categorical__thal_0,Cholesterol x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
numeric__chol categorical__ca_4,Cholesterol x Number of Major Vessels = 4,Toward no heart disease,0.0
numeric__chol categorical__ca_3,Cholesterol x Number of Major Vessels = 3,Toward no heart disease,0.0
numeric__chol categorical__ca_2,Cholesterol x Number of Major Vessels = 2,Toward no heart disease,0.0
numeric__chol categorical__slope_3,Cholesterol x ST Slope = 3,Toward no heart disease,0.0
numeric__chol categorical__slope_0,Cholesterol x ST Slope = 0 (Upsloping),Toward no heart disease,0.0
numeric__chol categorical__restecg_1,Cholesterol x Resting ECG Result = 1 (ST-T wave abnormality),Toward no heart disease,0.0
numeric__chol categorical__cp_1,Cholesterol x Chest Pain Type = 1 (Atypical angina),Toward no heart disease,0.0
numeric__chol categorical__cp_0,Cholesterol x Chest Pain Type = 0 (Typical angina),Toward no heart disease,0.0
numeric__trestbps categorical__thal_6,Resting Blood Pressure x Thalassemia Result = 6,Toward no heart disease,0.0
numeric__thalachh categorical__thal_2,Maximum Heart Rate x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
numeric__thalachh categorical__thal_6,Maximum Heart Rate x Thalassemia Result = 6,Toward no heart disease,0.0
numeric__trestbps categorical__thal_0,Resting Blood Pressure x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
numeric__oldpeak categorical__ca_4,Oldpeak x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__sex_0 categorical__ca_1,Sex = 0 (Female) x Number of Major Vessels = 1,Toward no heart disease,0.0
categorical__sex_0 categorical__slope_3,Sex = 0 (Female) x ST Slope = 3,Toward no heart disease,0.0
categorical__sex_0 categorical__slope_1,Sex = 0 (Female) x ST Slope = 1 (Flat),Toward no heart disease,0.0
categorical__sex_0 categorical__slope_0,Sex = 0 (Female) x ST Slope = 0 (Upsloping),Toward no heart disease,0.0
categorical__sex_0 categorical__restecg_2,Sex = 0 (Female) x Resting ECG Result = 2 (Left ventricular hypertrophy),Toward no heart disease,0.0
categorical__sex_0 categorical__restecg_1,Sex = 0 (Female) x Resting ECG Result = 1 (ST-T wave abnormality),Toward no heart disease,0.0
categorical__sex_0 categorical__cp_2,Sex = 0 (Female) x Chest Pain Type = 2 (Non-anginal pain),Toward no heart disease,0.0
categorical__sex_0 categorical__sex_1,Sex = 0 (Female) x Sex = 1 (Male),Toward no heart disease,0.0
numeric__oldpeak categorical__thal_6,Oldpeak x Thalassemia Result = 6,Toward no heart disease,0.0
numeric__oldpeak categorical__thal_0,Oldpeak x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
numeric__oldpeak categorical__ca_3,Oldpeak x Number of Major Vessels = 3,Toward no heart disease,0.0
numeric__thalachh categorical__thal_7,Maximum Heart Rate x Thalassemia Result = 7,Toward no heart disease,0.0
numeric__oldpeak categorical__ca_1,Oldpeak x Number of Major Vessels = 1,Toward no heart disease,0.0
numeric__oldpeak categorical__ca_0,Oldpeak x Number of Major Vessels = 0,Toward no heart disease,0.0
numeric__oldpeak categorical__slope_3,Oldpeak x ST Slope = 3,Toward no heart disease,0.0
numeric__oldpeak categorical__exang_0,Oldpeak x Exercise-Induced Angina = 0 (No),Toward no heart disease,0.0
numeric__oldpeak categorical__restecg_1,Oldpeak x Resting ECG Result = 1 (ST-T wave abnormality),Toward no heart disease,0.0
numeric__oldpeak categorical__restecg_0,Oldpeak x Resting ECG Result = 0 (Normal),Toward no heart disease,0.0
numeric__oldpeak categorical__fbs_1,Oldpeak x Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl),Toward no heart disease,0.0
numeric__oldpeak categorical__fbs_0,Oldpeak x Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl),Toward no heart disease,0.0
numeric__oldpeak categorical__cp_0,Oldpeak x Chest Pain Type = 0 (Typical angina),Toward no heart disease,0.0
numeric__oldpeak categorical__sex_0,Oldpeak x Sex = 0 (Female),Toward no heart disease,0.0
numeric__trestbps categorical__thal_2,Resting Blood Pressure x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
numeric__trestbps categorical__ca_4,Resting Blood Pressure x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__sex_0 categorical__ca_4,Sex = 0 (Female) x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__restecg_0,Resting ECG Result = 0 (Normal),Toward no heart disease,0.0
categorical__ca_2,Number of Major Vessels = 2,Toward no heart disease,0.0
categorical__ca_1,Number of Major Vessels = 1,Toward no heart disease,0.0
categorical__ca_0,Number of Major Vessels = 0,Toward no heart disease,0.0
categorical__slope_3,ST Slope = 3,Toward no heart disease,0.0
categorical__slope_1,ST Slope = 1 (Flat),Toward no heart disease,0.0
categorical__slope_0,ST Slope = 0 (Upsloping),Toward no heart disease,0.0
categorical__exang_1,Exercise-Induced Angina = 1 (Yes),Toward no heart disease,0.0
categorical__exang_0,Exercise-Induced Angina = 0 (No),Toward no heart disease,0.0
categorical__restecg_2,Resting ECG Result = 2 (Left ventricular hypertrophy),Toward no heart disease,0.0
categorical__restecg_1,Resting ECG Result = 1 (ST-T wave abnormality),Toward no heart disease,0.0
categorical__fbs_1,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl),Toward no heart disease,0.0
categorical__ca_4,Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__fbs_0,Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl),Toward no heart disease,0.0
categorical__cp_3,Chest Pain Type = 3 (Asymptomatic),Toward no heart disease,0.0
categorical__cp_2,Chest Pain Type = 2 (Non-anginal pain),Toward no heart disease,0.0
categorical__cp_1,Chest Pain Type = 1 (Atypical angina),Toward no heart disease,0.0
categorical__cp_0,Chest Pain Type = 0 (Typical angina),Toward no heart disease,0.0
categorical__sex_1,Sex = 1 (Male),Toward no heart disease,0.0
categorical__sex_0,Sex = 0 (Female),Toward no heart disease,0.0
numeric__oldpeak,Oldpeak,Toward no heart disease,0.0
numeric__thalachh,Maximum Heart Rate,Toward no heart disease,0.0
numeric__chol,Cholesterol,Toward no heart disease,0.0
categorical__ca_3,Number of Major Vessels = 3,Toward no heart disease,0.0
categorical__thal_0,Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
numeric__trestbps categorical__ca_3,Resting Blood Pressure x Number of Major Vessels = 3,Toward no heart disease,0.0
numeric__age categorical__ca_2,Age x Number of Major Vessels = 2,Toward no heart disease,0.0
numeric__trestbps categorical__ca_1,Resting Blood Pressure x Number of Major Vessels = 1,Toward no heart disease,0.0
numeric__trestbps categorical__ca_0,Resting Blood Pressure x Number of Major Vessels = 0,Toward no heart disease,0.0
numeric__trestbps categorical__restecg_0,Resting Blood Pressure x Resting ECG Result = 0 (Normal),Toward no heart disease,0.0
numeric__trestbps categorical__sex_1,Resting Blood Pressure x Sex = 1 (Male),Toward no heart disease,0.0
